"row ID","Cluster0","Cluster1","Cluster2","Cluster3","Cluster4","Keywords"
"Mean(movi[])",0.2041252757671379,0.25969794477954977,0.3402087929452299,0.2628621784807586,0.284000383676018,"movi"
"Mean(film[])",0.3561098837996529,0.24268607576016532,0.3399627444606981,0.32656833989470474,0.3893528780673953,"film"
"Mean(nt[])",0.26634775014772516,0.23601711478976925,0.33385950626155836,0.3231964271142033,0.35754290373091374,"nt"
"Mean(watch[])",0.20665659965549696,0.20780479999259774,0.18697501873592579,0.2237307916498259,0.31704459698700466,"watch"
"Mean(time[])",0.34543924817425803,0.18863669953035922,0.2734727381379543,0.32611039679493464,0.4337515429248944,"time"
"Mean(charact[])",0.3321496238623919,0.1743452121657994,0.406380032225578,0.2958462979701545,0.3741606434813506,"charact"
"Mean(stori[])",0.290063994563557,0.1691349491482076,0.36996588195490715,0.27390341746853136,0.306178660928199,"stori"
"Mean(act[])",0.21275031855546217,0.16653988350996124,0.2807122258717903,0.22073098102739072,0.2343336842060163,"act"
"Mean(peopl[])",0.235618418014732,0.14936876740632743,0.358713937682685,0.24331229140596472,0.35933778800908955,"peopl"
"Mean(look[])",0.3073134213523428,0.14669021950876868,0.39196688695634463,0.2975852345415692,0.39490516946726173,"look"
"Mean(seen[])",0.13885879983500887,0.14609007550209238,0.2512683044633493,0.20402127285485633,0.2621930133530601,"seen"
"Mean(love[])",0.23747112816114338,0.1445947622817814,0.2747662732890153,0.26500174985679187,0.37725346447004376,"love"
"Mean(bad[])",0.08097191430054027,0.1414740005626779,0.2724367533236929,0.20819701611463706,0.2508369084310216,"bad"
"Mean(scene[])",0.2468119711024934,0.1342486058092103,0.46056876750375997,0.3149188153871866,0.4077763000823803,"scene"
"Mean(actor[])",0.2196704885868146,0.13356365896816844,0.28457313294200987,0.2529538959484532,0.148472938926266,"actor"
"Mean(plai[])",0.3769177303303091,0.12887753903911103,0.3431521836548854,0.2754398798567644,0.3892085258845583,"plai"
"Mean(plot[])",0.22395422716965793,0.12851834837757814,0.2901225215606932,0.24686588729190986,0.20182436282483007,"plot"
"Mean(excel[])",0.1487532997303767,0.11737488449390972,0.13739020044541736,0.1342028819979656,0.12288316064683291,"excel"
"Mean(ve[])",0.11259093598837908,0.11619800223032718,0.26740347297240025,0.20721864572220197,0.2418257494706925,"ve"
"Mean(wast[])",0,0.11576746006082857,0.08410882993882991,0.09776752881778518,0.10970716948543031,"wast"
"Mean(-[])",0.21277207352035907,0.11565712051739484,0.3368891164072353,0.24877965519303516,0.22849870504142913,"-"
